Unnamed: 0;env;Total_Ticks;Total_Steps;Fight_Num;result;fight_time;iteration;Up;Down;Left;Right;Punch (A);Kick (B);Hurricane Kick;Hadouken;Damage Up;Damage Down;Damage Left;Damage Right;Damage Punch;Damage Kick;Damage Hurricane;Damage Hadouken;total_reward;damage_taken;rounds_won;rounds_lost;stun_time;total_damage_dealt
0;0x000002640ACCF100;6760;1349;0;0;20;1;210;225;223;233;246;212;0;0;50;49;37;22;71;13;0;0;-43.0;383;0;2;332;292
1;0x000002640ACCF100;13495;2695;0;0;77;1;236;201;219;242;240;208;0;0;63;13;43;93;21;29;0;0;146.5;261;0;2;251;325
2;0x000002640ACCF100;18935;3782;0;0;58;1;158;211;192;173;172;181;0;0;17;11;15;0;72;20;0;0;-85.7;276;0;2;292;152
3;0x000002640ACCF100;25845;5163;0;0;80;1;243;232;192;239;247;228;0;0;65;25;41;24;63;18;0;0;90.4;272;0;2;258;301
4;0x000002640ACCF100;32520;6497;0;0;58;1;211;221;215;219;252;216;0;0;47;27;35;31;28;32;0;0;62.0;417;1;2;310;247
5;0x000002640ACCF100;40135;8019;0;0;72;1;254;260;260;264;252;232;0;0;54;9;9;81;50;45;0;0;39.5;371;1;2;321;302
6;0x000002640ACCF100;47740;9538;0;0;60;2;110;209;279;151;330;267;0;0;34;14;31;33;31;51;0;0;23.0;390;1;2;297;228
7;0x000002640ACCF100;53995;10788;0;1;68;2;98;199;302;143;278;230;0;0;75;20;78;30;41;28;0;0;1460.0;232;2;0;157;347
8;0x000002640ACCF100;61255;12239;0;0;67;2;117;218;325;176;322;293;0;0;34;31;34;36;60;108;0;0;174.9;408;1;2;277;337
9;0x000002640ACCF100;69205;13828;0;0;78;2;135;269;316;165;434;270;0;0;41;35;42;34;84;11;0;0;108.1;411;1;2;265;288
10;0x000002640ACCF100;73445;14675;0;1;37;2;63;145;180;95;189;175;0;0;22;54;55;22;47;70;0;0;1620.7;63;2;0;44;292
11;0x000002640ACCF100;79035;15792;0;0;60;2;83;171;242;123;274;224;0;0;13;33;37;0;44;46;0;0;-13.0;260;0;2;232;186
12;0x000002640ACCF100;87310;17445;0;0;55;3;84;163;264;111;277;162;0;0;2;51;104;6;60;0;0;0;12.7;286;0;2;275;225
13;0x000002640ACCF100;93145;18611;0;1;61;3;76;144;322;118;269;237;0;0;6;0;111;19;55;87;0;0;1513.5;228;2;0;200;284
